Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
24.4.2026,13:51:42.203,38.0,39.0,30.000,30.475,1758.0,1728.0,1153,5226,
24.4.2026,13:51:42.406,38.0,39.0,30.000,30.527,1758.0,1730.0,1153,5226,
24.4.2026,13:51:42.611,39.0,39.0,30.000,30.604,1758.0,1730.0,1153,5226,
24.4.2026,13:51:42.803,38.0,39.0,30.000,30.549,1758.0,1728.0,1153,5226,
24.4.2026,13:51:43.004,38.0,39.0,30.000,30.474,1756.0,1730.0,1153,5226,
24.4.2026,13:51:43.208,39.0,39.0,30.000,30.454,1757.0,1730.0,1153,5226,
24.4.2026,13:51:43.414,38.0,39.0,30.000,30.424,303.0,1730.0,1153,5226,
24.4.2026,13:51:43.621,39.0,39.0,29.000,30.391,296.0,1728.0,1153,5226,
24.4.2026,13:51:43.830,38.0,39.0,30.000,30.234,299.0,1730.0,1153,5226,
24.4.2026,13:51:44.031,38.0,39.0,30.000,30.513,307.0,1730.0,1153,5226,
24.4.2026,13:51:44.238,39.0,39.0,30.000,30.035,1758.0,1730.0,1153,5226,
24.4.2026,13:51:44.444,39.0,39.0,30.000,30.098,1757.0,1730.0,1153,5226,
24.4.2026,13:51:44.647,39.0,39.0,29.000,30.315,297.0,1730.0,1153,5226,
24.4.2026,13:51:44.854,39.0,39.0,29.000,30.507,267.0,1730.0,1153,5226,
24.4.2026,13:51:45.054,39.0,39.0,30.000,30.166,1756.0,1730.0,1153,5226,
24.4.2026,13:51:45.260,38.0,39.0,30.000,30.207,1758.0,1730.0,1153,5226,
24.4.2026,13:51:45.465,39.0,39.0,29.000,30.167,1758.0,1730.0,1153,5226,
24.4.2026,13:51:45.671,39.0,39.0,29.000,30.052,281.0,1728.0,1153,5226,
24.4.2026,13:51:45.875,39.0,39.0,30.000,30.181,1758.0,1728.0,1153,5226,
24.4.2026,13:51:46.080,39.0,39.0,30.000,30.204,1757.0,1730.0,1153,5226,
24.4.2026,13:51:46.284,38.0,39.0,29.000,30.157,1757.0,1730.0,1153,5226,
24.4.2026,13:51:46.489,38.0,39.0,30.000,30.409,289.0,1730.0,1153,5226,
24.4.2026,13:51:46.693,39.0,39.0,29.000,30.335,287.0,1730.0,1153,5226,
24.4.2026,13:51:46.901,39.0,39.0,30.000,30.455,1757.0,1730.0,1153,5226,
24.4.2026,13:51:47.108,38.0,39.0,29.000,30.220,1758.0,1730.0,1153,5226,
24.4.2026,13:51:47.311,39.0,39.0,30.000,30.328,1751.0,1730.0,1153,5226,
24.4.2026,13:51:47.523,39.0,39.0,30.000,30.178,1757.0,1728.0,1153,5226,
24.4.2026,13:51:47.737,39.0,39.0,30.000,30.086,1758.0,1730.0,1153,5226,
24.4.2026,13:51:47.941,39.0,40.0,30.000,30.084,1758.0,1730.0,1153,5226,
24.4.2026,13:51:48.143,39.0,39.0,30.000,29.951,1757.0,1730.0,1153,5226,
24.4.2026,13:51:48.349,39.0,39.0,29.000,29.719,243.0,1728.0,1153,5226,
24.4.2026,13:51:48.553,38.0,39.0,29.000,29.557,1758.0,1728.0,1153,5226,
24.4.2026,13:51:48.757,39.0,40.0,30.000,29.861,1758.0,1728.0,1153,5226,
24.4.2026,13:51:48.964,39.0,39.0,29.000,30.131,283.0,1730.0,1153,5226,
24.4.2026,13:51:49.169,39.0,39.0,29.000,29.969,279.0,1730.0,1153,5226,
24.4.2026,13:51:49.371,39.0,40.0,29.000,30.001,280.0,1730.0,1153,5226,
24.4.2026,13:51:49.574,39.0,39.0,30.000,30.110,1756.0,1730.0,1153,5226,
24.4.2026,13:51:49.781,39.0,40.0,29.000,29.940,1757.0,1730.0,1153,5226,
24.4.2026,13:51:49.983,39.0,40.0,30.000,29.805,1758.0,1730.0,1153,5226,
24.4.2026,13:51:50.187,39.0,39.0,29.000,29.994,271.0,1728.0,1153,5226,
24.4.2026,13:51:50.395,39.0,39.0,29.000,29.749,1719.0,1730.0,1153,5226,
24.4.2026,13:51:50.594,39.0,39.0,30.000,30.031,1755.0,1728.0,1153,5226,
24.4.2026,13:51:50.799,39.0,40.0,30.000,30.020,1757.0,1730.0,1153,5226,
24.4.2026,13:51:51.002,39.0,39.0,30.000,29.951,1757.0,1730.0,1153,5226,
24.4.2026,13:51:51.206,38.0,40.0,29.000,30.143,1757.0,1730.0,1153,5226,
24.4.2026,13:51:51.401,39.0,39.0,29.000,29.795,285.0,1728.0,1153,5226,
24.4.2026,13:51:51.602,39.0,39.0,29.000,29.883,1737.0,1728.0,1153,5226,
24.4.2026,13:51:51.802,39.0,39.0,29.000,29.883,1737.0,1728.0,1153,5226,
24.4.2026,13:51:52.005,39.0,39.0,29.000,29.672,1757.0,1728.0,1153,5226,
24.4.2026,13:51:52.208,39.0,39.0,29.000,29.728,305.0,1730.0,1153,5226,
24.4.2026,13:51:52.410,39.0,39.0,30.000,29.809,1759.0,1730.0,1153,5226,
24.4.2026,13:51:52.617,39.0,39.0,30.000,30.000,1758.0,1730.0,1153,5226,
24.4.2026,13:51:52.822,39.0,39.0,29.000,29.954,1728.0,1730.0,1153,5226,
24.4.2026,13:51:53.028,39.0,39.0,30.000,29.837,1750.0,1730.0,1153,5226,
24.4.2026,13:51:53.233,38.0,39.0,29.000,30.022,267.0,1730.0,1153,5226,
24.4.2026,13:51:53.442,39.0,39.0,29.000,29.977,299.0,1728.0,1153,5226,
24.4.2026,13:51:53.629,39.0,40.0,30.000,30.042,1758.0,1730.0,1153,5226,
24.4.2026,13:51:53.834,39.0,39.0,30.000,30.113,1757.0,1730.0,1153,5226,
24.4.2026,13:51:54.040,39.0,40.0,30.000,30.310,1757.0,1730.0,1153,5226,
24.4.2026,13:51:54.240,39.0,39.0,30.000,30.184,1757.0,1728.0,1153,5226,
24.4.2026,13:51:54.442,39.0,40.0,29.000,30.067,1757.0,1730.0,1153,5226,
24.4.2026,13:51:54.644,39.0,40.0,30.000,30.131,1757.0,1730.0,1153,5226,
24.4.2026,13:51:54.862,39.0,39.0,30.000,30.429,1758.0,1730.0,1153,5226,
24.4.2026,13:51:55.052,39.0,40.0,30.000,30.680,1758.0,1730.0,1153,5226,
24.4.2026,13:51:55.255,39.0,40.0,29.000,30.265,283.0,1728.0,1153,5226,
24.4.2026,13:51:55.460,39.0,40.0,30.000,30.159,1759.0,1730.0,1153,5226,
24.4.2026,13:51:55.664,39.0,40.0,29.000,29.858,1727.0,1730.0,1153,5226,
24.4.2026,13:51:55.866,39.0,39.0,29.000,30.103,305.0,1730.0,1153,5226,
24.4.2026,13:51:56.072,39.0,39.0,29.000,29.924,299.0,1730.0,1153,5226,
24.4.2026,13:51:56.277,39.0,40.0,29.000,30.004,1758.0,1728.0,1153,5226,
24.4.2026,13:51:56.484,39.0,40.0,29.000,30.068,261.0,1730.0,1153,5226,
24.4.2026,13:51:56.684,40.0,40.0,29.000,29.865,288.0,1728.0,1153,5226,
24.4.2026,13:51:56.886,39.0,40.0,29.000,29.853,1754.0,1728.0,1153,5226,
24.4.2026,13:51:57.092,39.0,40.0,29.000,29.821,287.0,1730.0,1153,5226,
24.4.2026,13:51:57.293,39.0,39.0,30.000,29.797,1757.0,1730.0,1153,5226,
24.4.2026,13:51:57.499,39.0,40.0,29.000,30.053,296.0,1730.0,1153,5226,
24.4.2026,13:51:57.701,39.0,40.0,30.000,29.832,1758.0,1730.0,1153,5226,
24.4.2026,13:51:57.905,39.0,40.0,29.000,30.023,303.0,1730.0,1153,5226,
24.4.2026,13:51:58.110,39.0,40.0,29.000,30.042,1756.0,1730.0,1153,5226,
24.4.2026,13:51:58.319,39.0,40.0,29.000,29.946,1758.0,1730.0,1153,5226,
24.4.2026,13:51:58.521,39.0,40.0,29.000,30.028,289.0,1728.0,1153,5226,
24.4.2026,13:51:58.727,39.0,40.0,30.000,30.304,1711.0,1728.0,1153,5226,
24.4.2026,13:51:58.931,39.0,40.0,30.000,30.320,284.0,1728.0,1153,5226,
24.4.2026,13:51:59.139,40.0,40.0,29.000,30.144,270.0,1730.0,1153,5226,
24.4.2026,13:51:59.343,39.0,40.0,29.000,29.841,265.0,1730.0,1153,5226,
24.4.2026,13:51:59.543,39.0,40.0,29.000,30.015,1757.0,1730.0,1153,5226,
24.4.2026,13:51:59.765,39.0,40.0,30.000,30.376,1758.0,1730.0,1153,5226,
24.4.2026,13:51:59.946,39.0,40.0,29.000,30.122,289.0,1730.0,1153,5226,
24.4.2026,13:52:0.148,39.0,40.0,29.000,29.998,295.0,1730.0,1153,5226,
24.4.2026,13:52:0.357,40.0,40.0,29.000,29.904,265.0,1728.0,1153,5226,
24.4.2026,13:52:0.558,40.0,40.0,29.000,29.778,288.0,1728.0,1153,5226,
24.4.2026,13:52:0.767,39.0,40.0,29.000,29.935,301.0,1728.0,1153,5226,
24.4.2026,13:52:0.971,39.0,40.0,29.000,30.005,255.0,1730.0,1153,5226,
24.4.2026,13:52:1.174,39.0,40.0,29.000,29.849,1758.0,1728.0,1153,5226,
24.4.2026,13:52:1.378,39.0,40.0,30.000,29.933,1758.0,1730.0,1153,5226,
24.4.2026,13:52:1.569,40.0,40.0,29.000,29.953,278.0,1730.0,1153,5226,
24.4.2026,13:52:1.777,39.0,40.0,29.000,29.850,273.0,1730.0,1153,5226,
24.4.2026,13:52:1.981,39.0,40.0,30.000,29.872,1757.0,1730.0,1153,5226,
24.4.2026,13:52:2.186,39.0,40.0,30.000,29.723,1757.0,1730.0,1153,5226,
24.4.2026,13:52:2.391,39.0,40.0,30.000,29.918,1757.0,1728.0,1153,5226,
24.4.2026,13:52:2.596,39.0,40.0,30.000,30.047,306.0,1730.0,1153,5226,
24.4.2026,13:52:2.799,39.0,40.0,29.000,29.823,246.0,1730.0,1153,5226,
24.4.2026,13:52:2.989,39.0,40.0,30.000,29.722,1754.0,1730.0,1153,5226,
24.4.2026,13:52:3.197,40.0,40.0,30.000,29.886,1757.0,1728.0,1153,5226,
24.4.2026,13:52:3.398,39.0,40.0,30.000,30.138,1758.0,1730.0,1153,5226,
24.4.2026,13:52:3.601,39.0,40.0,30.000,30.096,1758.0,1728.0,1153,5226,
24.4.2026,13:52:3.818,40.0,40.0,29.000,29.973,280.0,1728.0,1153,5226,
24.4.2026,13:52:4.020,39.0,40.0,30.000,29.849,297.0,1730.0,1153,5226,
24.4.2026,13:52:4.234,39.0,40.0,30.000,29.951,1758.0,1730.0,1153,5226,
24.4.2026,13:52:4.439,40.0,40.0,30.000,29.942,1757.0,1730.0,1153,5226,
24.4.2026,13:52:4.644,39.0,40.0,30.000,30.003,1757.0,1728.0,1153,5226,
24.4.2026,13:52:4.848,39.0,40.0,30.000,29.985,1757.0,1728.0,1153,5226,
24.4.2026,13:52:5.055,40.0,40.0,30.000,29.954,296.0,1730.0,1153,5226,
24.4.2026,13:52:5.256,39.0,40.0,30.000,29.945,1750.0,1730.0,1153,5226,
24.4.2026,13:52:5.462,39.0,40.0,30.000,30.015,1755.0,1728.0,1153,5226,
24.4.2026,13:52:5.666,40.0,40.0,30.000,30.123,1757.0,1730.0,1153,5226,
24.4.2026,13:52:5.873,39.0,40.0,30.000,30.266,1758.0,1730.0,1153,5226,
24.4.2026,13:52:6.078,39.0,40.0,30.000,30.480,1758.0,1730.0,1153,5226,
24.4.2026,13:52:6.281,40.0,40.0,30.000,30.374,1756.0,1728.0,1153,5226,
