Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
19.4.2026,13:49:33.981,50.0,51.0,28.000,28.190,1756.0,1728.0,2626,4740,
19.4.2026,13:49:34.186,50.0,52.0,28.000,28.107,1741.0,1728.0,2626,4740,
19.4.2026,13:49:34.387,50.0,51.0,28.000,28.262,1756.0,1728.0,2626,4740,
19.4.2026,13:49:34.602,50.0,51.0,28.000,28.175,1756.0,1728.0,2626,4740,
19.4.2026,13:49:34.803,49.0,51.0,28.000,28.241,1757.0,1730.0,2626,4740,
19.4.2026,13:49:35.005,50.0,51.0,28.000,28.326,1757.0,1730.0,2626,4740,
19.4.2026,13:49:35.210,50.0,51.0,28.000,28.454,1756.0,1728.0,2626,4740,
19.4.2026,13:49:35.409,50.0,51.0,28.000,28.454,1756.0,1728.0,2626,4740,
19.4.2026,13:49:35.609,50.0,51.0,28.000,28.129,1756.0,1728.0,2626,4740,
19.4.2026,13:49:35.813,49.0,52.0,27.000,28.145,1756.0,1730.0,2626,4740,
19.4.2026,13:49:36.019,50.0,51.0,28.000,28.138,1755.0,1730.0,2626,4740,
19.4.2026,13:49:36.221,50.0,51.0,28.000,28.290,1739.0,1730.0,2626,4740,
19.4.2026,13:49:36.423,49.0,52.0,28.000,28.170,1756.0,1728.0,2626,4740,
19.4.2026,13:49:36.625,49.0,51.0,27.000,28.017,1752.0,1730.0,2626,4740,
19.4.2026,13:49:36.824,49.0,51.0,28.000,28.106,1756.0,1730.0,2626,4740,
19.4.2026,13:49:37.042,50.0,51.0,28.000,27.932,1756.0,1730.0,2626,4740,
19.4.2026,13:49:37.256,49.0,51.0,27.000,28.144,301.0,1730.0,2626,4740,
19.4.2026,13:49:37.459,49.0,51.0,27.000,28.038,1756.0,1728.0,2626,4740,
19.4.2026,13:49:37.659,49.0,51.0,27.000,28.038,1756.0,1728.0,2626,4740,
19.4.2026,13:49:37.860,50.0,51.0,28.000,27.774,1754.0,1730.0,2626,4740,
19.4.2026,13:49:38.066,50.0,52.0,27.000,27.795,1757.0,1730.0,2626,4740,
19.4.2026,13:49:38.274,49.0,51.0,27.000,27.652,1756.0,1728.0,2626,4740,
19.4.2026,13:49:38.477,50.0,51.0,27.000,27.883,1735.0,1730.0,2626,4740,
19.4.2026,13:49:38.680,49.0,51.0,27.000,27.748,1757.0,1730.0,2626,4740,
19.4.2026,13:49:38.883,50.0,51.0,27.000,27.817,1748.0,1730.0,2626,4740,
19.4.2026,13:49:39.085,50.0,51.0,28.000,27.883,1756.0,1728.0,2626,4740,
19.4.2026,13:49:39.286,50.0,51.0,27.000,28.025,1757.0,1728.0,2626,4740,
19.4.2026,13:49:39.487,50.0,51.0,28.000,28.119,1757.0,1728.0,2626,4740,
