Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
19.3.2026,21:28:37.715,50.0,53.0,29.000,29.863,1757.0,1728.0,2292,2582,
19.3.2026,21:28:37.915,50.0,52.0,29.000,29.886,1757.0,1728.0,2292,2582,
19.3.2026,21:28:38.116,50.0,52.0,29.000,29.856,1757.0,1730.0,2292,2582,
19.3.2026,21:28:38.316,50.0,52.0,29.000,29.583,1757.0,1730.0,2292,2582,
19.3.2026,21:28:38.530,51.0,53.0,29.000,29.408,1757.0,1730.0,2292,2582,
19.3.2026,21:28:38.730,50.0,52.0,29.000,29.477,1758.0,1730.0,2292,2582,
19.3.2026,21:28:38.930,50.0,52.0,29.000,29.508,1758.0,1730.0,2292,2582,
19.3.2026,21:28:39.131,51.0,53.0,29.000,29.684,1757.0,1728.0,2292,2582,
19.3.2026,21:28:39.330,51.0,52.0,29.000,29.870,1758.0,1730.0,2292,2582,
19.3.2026,21:28:39.548,51.0,52.0,29.000,29.558,1757.0,1730.0,2292,2582,
19.3.2026,21:28:39.765,51.0,52.0,29.000,29.681,1757.0,1728.0,2292,2582,
19.3.2026,21:28:39.965,50.0,52.0,29.000,29.638,1757.0,1730.0,2292,2582,
19.3.2026,21:28:40.165,50.0,52.0,29.000,29.811,1757.0,1728.0,2292,2582,
19.3.2026,21:28:40.365,50.0,53.0,29.000,29.728,1757.0,1730.0,2292,2582,
19.3.2026,21:28:40.565,51.0,53.0,29.000,29.706,1757.0,1730.0,2292,2582,
19.3.2026,21:28:40.782,51.0,53.0,29.000,29.781,1757.0,1730.0,2292,2582,
19.3.2026,21:28:40.999,51.0,52.0,29.000,29.881,1757.0,1730.0,2292,2582,
19.3.2026,21:28:41.200,51.0,52.0,29.000,29.929,1757.0,1728.0,2292,2582,
19.3.2026,21:28:41.399,50.0,52.0,29.000,29.729,1757.0,1730.0,2292,2582,
19.3.2026,21:28:41.599,50.0,52.0,29.000,29.507,1757.0,1730.0,2292,2582,
19.3.2026,21:28:41.800,50.0,52.0,29.000,29.538,1758.0,1730.0,2292,2582,
19.3.2026,21:28:42.000,50.0,52.0,29.000,29.610,1757.0,1730.0,2292,2582,
19.3.2026,21:28:42.217,50.0,52.0,29.000,29.630,1757.0,1730.0,2292,2582,
19.3.2026,21:28:42.417,51.0,53.0,29.000,29.846,1757.0,1730.0,2292,2582,
19.3.2026,21:28:42.617,51.0,52.0,29.000,29.984,1758.0,1728.0,2292,2582,
19.3.2026,21:28:42.818,51.0,52.0,25.000,29.947,128.0,1730.0,2292,2582,
19.3.2026,21:28:43.018,51.0,52.0,22.000,24.091,16.0,1730.0,2292,2582,
19.3.2026,21:28:43.235,50.0,52.0,24.000,23.494,132.0,1730.0,2160,2453,
19.3.2026,21:28:43.451,50.0,51.0,20.000,23.196,90.0,1730.0,2160,2453,
19.3.2026,21:28:43.652,50.0,51.0,20.000,21.803,9.0,1726.0,2160,2453,
19.3.2026,21:28:43.852,51.0,52.0,21.000,21.449,41.0,1730.0,2160,2453,
19.3.2026,21:28:44.052,50.0,51.0,21.000,21.420,37.0,1730.0,2160,2453,
19.3.2026,21:28:44.270,50.0,52.0,21.000,21.419,43.0,1730.0,2160,2453,
19.3.2026,21:28:44.485,50.0,51.0,21.000,21.501,45.0,1730.0,2160,2453,
19.3.2026,21:28:44.703,50.0,51.0,21.000,20.959,44.0,1730.0,2160,2453,
19.3.2026,21:28:44.903,50.0,51.0,21.000,21.503,62.0,1730.0,2160,2453,
19.3.2026,21:28:45.103,50.0,51.0,21.000,21.397,37.0,1728.0,2160,2453,
19.3.2026,21:28:45.306,50.0,51.0,21.000,21.530,46.0,1728.0,2171,2464,
19.3.2026,21:28:45.507,50.0,51.0,21.000,21.381,46.0,1730.0,2171,2464,
19.3.2026,21:28:45.720,51.0,51.0,21.000,21.413,48.0,1730.0,2171,2464,
